type,name,x,y,pitch
start_point,Tiger,1,6,
start_point,Dragon,1,10,
start_point,Horse,1,14,
start_point,Rabbit,20,6,
start_point,Ox,20,10,
start_point,Monkey,20,14,
end_point,Beijing,6,4,
end_point,Shanghai,6,8,
end_point,Suzhou,6,12,
end_point,Hangzhou,6,16,
end_point,Nanjing,9,4,
end_point,Wuhan,9,8,
end_point,Changsha,9,12,
end_point,Guangzhou,9,16,
end_point,Chengdu,12,4,
end_point,Xiamen,12,8,
end_point,Kunming,12,12,
end_point,Urumqi,12,16,
end_point,Shenzhen,15,4,
end_point,Dalian,15,8,
end_point,Tianjin,15,12,
end_point,Chongqing,15,16,
agv,Optimus,3,1,90
agv,Bumblebee,6,1,90
agv,Jazz,9,1,90
agv,Sideswipe,12,1,90
agv,Wheeljack,15,1,90
agv,Ratchet,18,1,90
agv,Ironhide,3,20,270
agv,Hound,6,20,270
agv,Smokescreen,9,20,270
agv,Megatron,12,20,270
agv,Bluestreak,15,20,270
agv,RedAlert,18,20,270
